,SITE_NAME,TR,VOLUMES,xdim_mm,ydim_mm,zdim_mm,xdim_voxels,ydim_voxels,zdim_voxels,NUM_AUT_DSM_V,NUM_AUT_MALE_DSM_V,NUM_AUT_FEMALE_DSM_V,NUM_AUT_AGE_lte12_DSM_V,NUM_AUT_AGE_12_18_DSM_V,NUM_AUT_AGE_18_24_DSM_V,NUM_AUT_AGE_24_34_DSM_V,NUM_AUT_AGE_34_50_DSM_V,NUM_AUT_AGE_gt50_DSM_V,NUM_AUT_DSM_IV,NUM_AUT_MALE_DSM_IV,NUM_AUT_FEMALE_DSM_IV,NUM_ASP_DSM_IV,NUM_ASP_MALE_DSM_IV,NUM_ASP_FEMALE_DSM_IV,NUM_PDDNOS_DSM_IV,NUM_PDDNOS_MALE_DSM_IV,NUM_PDDNOS_FEMALE_DSM_IV,NUM_ASP_PDDNOS_DSM_IV,NUM_ASP_PDDNOS_MALE_DSM_IV,NUM_ASP_PDDNOS_FEMALE_DSM_IV,NUM_TD,NUM_TD_MALE,NUM_TD_FEMALE,NUM_TD_AGE_lte12,NUM_TD_AGE_12_18,NUM_TD_AGE_18_24,NUM_TD_AGE_24_34,NUM_TD_AGE_34_50,NUM_TD_AGE_gt50
10,SBL,2.2,200.0,2.75,2.75,2.992,80,80,38.0,15.0,15.0,0.0,0.0,0.0,1.0,9.0,4.0,1.0,2.0,2.0,0.0,7.0,7.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,1.0,5.0,9.0,0.0
11,SDSU,2.0,180.0,3.4,3.4,3.4,64,64,42.0,14.0,13.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,7.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0,16.0,6.0,1.0,21.0,0.0,0.0,0.0,0.0
12,STANFORD,2.0,180.0,3.125,3.125,4.5,64,64,29.0,20.0,16.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,4.0,16.0,4.0,0.0,0.0,0.0,0.0
13,TRINITY,2.0,150.0,3,3,3.85,80,80,38.0,24.0,24.0,0.0,1.0,13.0,9.0,1.0,0.0,0.0,10.0,10.0,0.0,7.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,15.0,8.0,2.0,0.0,0.0
14,UCLA_1,3.0,120.0,3,3,4.0,64,64,34.0,49.0,42.0,7.0,18.0,31.0,0.0,0.0,0.0,0.0,49.0,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,29.0,4.0,11.0,22.0,0.0,0.0,0.0,0.0
15,UCLA_2,3.0,120.0,3,3,4.0,64,64,34.0,13.0,13.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0
16,UM_1,2.0,300.0,3.438,3.438,3.0,64,64,40.0,55.0,46.0,9.0,24.0,30.0,1.0,0.0,0.0,0.0,45.0,39.0,6.0,7.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,55.0,38.0,17.0,19.0,30.0,6.0,0.0,0.0,0.0
17,UM_2,2.0,300.0,3.438,3.438,3.0,64,64,40.0,13.0,12.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,1.0,0.0,20.0,0.0,2.0,0.0,0.0
18,USM,2.0,240.0,3.4,3.4,3.3,64,64,40.0,58.0,58.0,0.0,1.0,20.0,17.0,15.0,4.0,1.0,57.0,57.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,4.0,10.0,14.0,11.0,4.0,0.0
19,YALE,2.0,200.0,3.4,3.4,4.0,64,64,34.0,28.0,20.0,8.0,12.0,16.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,8.0,6.0,2.0,14.0,10.0,4.0,0.0,0.0,0.0,28.0,20.0,8.0,11.0,17.0,0.0,0.0,0.0,0.0
